school_id,district,facility,enrollment,school_compliance,compliance_bin,protection,protection_bin
A440631650031001,Marengo-Union E Cons D 165,Marengo Comm Middle School,313,99.68%,98-99.9%,99.04%,98-99.9%
A440631650032002,Marengo-Union E Cons D 165,Locust Elem School,483,99.38%,98-99.9%,96.89%,90-97.9%
A440631650032004,Marengo-Union E Cons D 165,Ulysses S Grant Intermediate Sch,229,100.00%,100%,99.13%,98-99.9%
A440632000260008,Woodstock CUSD 200,Woodstock High School,995,99.60%,98-99.9%,98.49%,98-99.9%
A440632000260009,Woodstock CUSD 200,Woodstock North High School,904,96.90%,90-97.9%,98.78%,98-99.9%
A440632000261006,Woodstock CUSD 200,Northwood Middle School,665,97.89%,90-97.9%,100.00%,100%
A440632000261007,Woodstock CUSD 200,Creekside Middle School,783,96.68%,90-97.9%,98.21%,98-99.9%
A440632000262003,Woodstock CUSD 200,Dean Street Elem School,250,100.00%,100%,96.80%,90-97.9%
A440632000262004,Woodstock CUSD 200,Greenwood Elem School,301,99.67%,98-99.9%,99.34%,98-99.9%
A440632000262006,Woodstock CUSD 200,Westwood Elem School,327,100.00%,100%,99.08%,98-99.9%
A440632000262007,Woodstock CUSD 200,Olson Elementary School,432,100.00%,100%,96.99%,90-97.9%
A440632000262008,Woodstock CUSD 200,Mary Endres Elementary School,461,100.00%,100%,98.92%,98-99.9%
A440632000262009,Woodstock CUSD 200,Verda Dierzen Early Learning Ctr,802,95.76%,90-97.9%,92.14%,90-97.9%
A440632000262010,Woodstock CUSD 200,Prairiewood Elem Sch,430,99.77%,98-99.9%,98.14%,98-99.9%
A45067001X100000,Monroe/Randolph ROE,Immaculate Conception,325,100.00%,100%,99.38%,98-99.9%
A450670030260001,Valmeyer CUSD 3,Valmeyer High School,151,100.00%,100%,100.00%,100%
A450670030261001,Valmeyer CUSD 3,Valmeyer Jr High,104,99.04%,98-99.9%,100.00%,100%
A450670030262001,Valmeyer CUSD 3,Valmeyer Elementary School,215,99.53%,98-99.9%,98.14%,98-99.9%
A45067003X100000,Monroe/Randolph ROE,SS Peter and Paul School,265,100.00%,100%,96.60%,90-97.9%
A450670040260001,Columbia CUSD 4,Columbia High School,696,100.00%,100%,99.43%,98-99.9%
A450670040261001,Columbia CUSD 4,Columbia Middle School,595,99.50%,98-99.9%,99.33%,98-99.9%
A450670040262001,Columbia CUSD 4,Parkview Elementary School,399,100.00%,100%,98.25%,98-99.9%
A450670040262003,Columbia CUSD 4,Eagleview Elementary School,326,100.00%,100%,98.47%,98-99.9%
A45067004Y100000,Monroe/Randolph ROE,Gibault High School,212,100.00%,100%,99.06%,98-99.9%
A450670050260001,Waterloo CUSD 5,Waterloo High School,846,99.88%,98-99.9%,99.53%,98-99.9%
A450670050261001,Waterloo CUSD 5,Waterloo Junior High School,602,99.83%,98-99.9%,99.34%,98-99.9%
A450670050262003,Waterloo CUSD 5,W J Zahnow Elem School,400,100.00%,100%,99.00%,98-99.9%
A450670050262004,Waterloo CUSD 5,Rogers Elem School,400,100.00%,100%,99.75%,98-99.9%
A450670050262005,Waterloo CUSD 5,Gardner Elementary School,400,99.25%,98-99.9%,99.00%,98-99.9%
A450790010220001,Coulterville USD 1,Coulterville High School,59,100.00%,100%,100.00%,100%
A450790010221002,Coulterville USD 1,Coulterville Junior High School,49,97.96%,90-97.9%,100.00%,100%
A450790010222001,Coulterville USD 1,Coulterville Elementary School,101,100.00%,100%,98.02%,98-99.9%
A45079001Z260000,Monroe/Randolph ROE,Faith Christian School,13,100.00%,100%,100.00%,100%
A45079002X060000,Monroe/Randolph ROE,St John Lutheran School,131,100.00%,100%,100.00%,100%
A45079003X060000,Monroe/Randolph ROE,St Johns Lutheran School,216,100.00%,100%,100.00%,100%
A45079004X060000,Monroe/Randolph ROE,St Marks Lutheran School,93,100.00%,100%,98.92%,98-99.9%
A45079006X060000,Monroe/Randolph ROE,Trinity Lutheran School,62,98.39%,98-99.9%,98.39%,98-99.9%
A45079009X100000,Monroe/Randolph ROE,St John the Baptist,76,100.00%,100%,100.00%,100%
A45079010X100000,Monroe/Randolph ROE,St Mary School,77,100.00%,100%,100.00%,100%
A45079011Y060000,Monroe/Randolph ROE,Christ Our Savior Lutheran H S,25,100.00%,100%,100.00%,100%
A450791320260001,Red Bud CUSD 132,Red Bud High School,406,100.00%,100%,100.00%,100%
A450791320262002,Red Bud CUSD 132,Red Bud Elem School,636,99.69%,98-99.9%,98.90%,98-99.9%
A450791340042001,Prairie Du Rocher CCSD 134,Prairie Du Rocher Elem School,147,100.00%,100%,99.32%,98-99.9%
A450791380260001,Steeleville CUSD 138,Steeleville High School,161,100.00%,100%,100.00%,100%
A450791380262002,Steeleville CUSD 138,Steeleville Elem School,279,100.00%,100%,100.00%,100%
A450791390260001,Chester CUSD 139,Chester High School,348,99.71%,98-99.9%,100.00%,100%
A450791390262002,Chester CUSD 139,Chester Elem School,640,100.00%,100%,99.69%,98-99.9%
A450791400260001,Sparta CUSD 140,Sparta High School,368,100.00%,100%,100.00%,100%
A450791400262002,Sparta CUSD 140,Sparta Lincoln School,738,99.86%,98-99.9%,100.00%,100%
A450791400262008,Sparta CUSD 140,Evansville Attendance Center,134,100.00%,100%,100.00%,100%
A470000000003102,Lee/Ogle/Whiteside ROE,Riverdale Preschool Center,40,100.00%,100%,95.00%,90-97.9%
A47052001X100000,Lee/Ogle/Whiteside ROE,St Anne School,104,100.00%,100%,96.15%,90-97.9%
A47052003X100000,Lee/Ogle/Whiteside ROE,St Mary Elem & Jr High School,174,98.85%,98-99.9%,94.83%,90-97.9%
A47052006Z260000,Lee/Ogle/Whiteside ROE,Faith Christian School,149,100.00%,100%,85.91%,<90%
A470521700220001,Dixon USD 170,Dixon High School,772,100.00%,100%,83.42%,<90%
A470521700221001,Dixon USD 170,Reagan Middle School,621,100.00%,100%,96.94%,90-97.9%
A470521700222003,Dixon USD 170,Madison School,430,100.00%,100%,98.84%,98-99.9%
A470521700222004,Dixon USD 170,Jefferson Elem School,399,100.00%,100%,98.75%,98-99.9%
A470521700222008,Dixon USD 170,Washington Elem School,487,100.00%,100%,97.74%,90-97.9%
A470522200022001,Steward ESD 220,Steward Elementary School,64,98.44%,98-99.9%,93.75%,90-97.9%
A470522710260004,Paw Paw CUSD 271,Paw Paw Jr/Sr High School,112,100.00%,100%,100.00%,100%
A470522710262005,Paw Paw CUSD 271,Paw Paw Elem School,75,100.00%,100%,98.67%,98-99.9%
A470522720260001,Amboy CUSD 272,Amboy High School,221,100.00%,100%,100.00%,100%
A470522720261002,Amboy CUSD 272,Amboy Jr High School,205,100.00%,100%,100.00%,100%
A470522720262003,Amboy CUSD 272,Amboy Central Elem School,265,100.00%,100%,98.49%,98-99.9%
A470522750260001,Ashton-Franklin Center CUSD 275,Ashton-Franklin Center HS,239,100.00%,100%,99.58%,98-99.9%
A47071003X060000,Lee/Ogle/Whiteside ROE,St Paul Lutheran School,165,100.00%,100%,98.18%,98-99.9%
A470711610042001,Creston CCSD 161,Creston Elem School,90,100.00%,100%,95.56%,90-97.9%
A470712120170001,Rochelle Twp HSD 212,Rochelle Twp High School,940,100.00%,100%,99.26%,98-99.9%
A470712200260001,Oregon CUSD 220,Oregon High School,424,99.53%,98-99.9%,99.76%,98-99.9%
A470712200261001,Oregon CUSD 220,David L Rahn Jr High School,229,98.69%,98-99.9%,98.25%,98-99.9%
A470712200262006,Oregon CUSD 220,Oregon Elem Sch,771,99.22%,98-99.9%,97.54%,90-97.9%
A470712210260004,Forrestville Valley CUSD 221,Forreston Jr/Sr High Sch,448,100.00%,100%,98.88%,98-99.9%
A470712210262002,Forrestville Valley CUSD 221,German Valley Grade School,119,100.00%,100%,99.16%,98-99.9%
A470712210262003,Forrestville Valley CUSD 221,Forreston Grade School,312,100.00%,100%,98.08%,98-99.9%
A470712220260004,Polo CUSD 222,Polo Comm High School,164,100.00%,100%,98.78%,98-99.9%
A470712220261001,Polo CUSD 222,Aplington Middle School,139,98.56%,98-99.9%,97.84%,90-97.9%
A470712220262001,Polo CUSD 222,Centennial Elem School,283,99.65%,98-99.9%,96.11%,90-97.9%
A470712230260003,Meridian CUSD 223,Stillman Valley High School,613,99.84%,98-99.9%,98.86%,98-99.9%
A470712230261001,Meridian CUSD 223,Meridian Jr High School,404,99.50%,98-99.9%,99.26%,98-99.9%
A470712230262002,Meridian CUSD 223,Highland Elem School,347,100.00%,100%,97.98%,90-97.9%
A470712230262004,Meridian CUSD 223,Monroe Center Grade School,319,99.37%,98-99.9%,98.12%,98-99.9%
A470712260260001,Byron CUSD 226,Byron High School 9-12,482,96.27%,90-97.9%,98.34%,98-99.9%
A470712260261001,Byron CUSD 226,Byron Middle School,329,99.09%,98-99.9%,95.74%,90-97.9%
A470712260262003,Byron CUSD 226,Mary Morgan Elem Sch,740,99.73%,98-99.9%,97.30%,90-97.9%
A470712310041002,Rochelle CCSD 231,Rochelle Middle School,526,96.96%,90-97.9%,99.81%,98-99.9%
A470712310042001,Rochelle CCSD 231,Central Elem School,275,98.91%,98-99.9%,99.27%,98-99.9%
A470712310042003,Rochelle CCSD 231,Lincoln Elem School,446,99.10%,98-99.9%,96.41%,90-97.9%
A470712310042004,Rochelle CCSD 231,May Elem School,226,97.79%,90-97.9%,96.90%,90-97.9%
A470712310042005,Rochelle CCSD 231,Tilton Elem School,224,100.00%,100%,97.77%,90-97.9%
A470712690042002,Eswood CCSD 269,Eswood C C Grade School,78,100.00%,100%,93.59%,90-97.9%
A470980010260001,Erie CUSD 1,Erie High School,201,99.50%,98-99.9%,100.00%,100%
A470980010261002,Erie CUSD 1,Erie Middle School,182,96.70%,90-97.9%,99.45%,98-99.9%
A470980010262003,Erie CUSD 1,Erie Elem School,265,97.36%,90-97.9%,96.98%,90-97.9%
A47098001Z030000,Lee/Ogle/Whiteside ROE,Unity Christian School,149,91.95%,90-97.9%,91.95%,90-97.9%
A470980020260001,River Bend CUSD 2,Fulton High School,295,94.58%,90-97.9%,98.98%,98-99.9%
A470980020261002,River Bend CUSD 2,River Bend Middle School,213,97.18%,90-97.9%,97.18%,90-97.9%
A470980020262005,River Bend CUSD 2,Fulton Elem School,403,96.53%,90-97.9%,97.27%,90-97.9%
A470980020263001,River Bend CUSD 2,Early Step Pre-School,49,91.84%,90-97.9%,97.96%,90-97.9%
A47098002Y100000,Lee/Ogle/Whiteside ROE,Newman Central Catholic High Sch,223,100.00%,100%,99.55%,98-99.9%
A470980030260001,Prophetstown-Lyndon-Tampico CUSD3,Prophetstown High School,280,100.00%,100%,98.93%,98-99.9%
A470980030261004,Prophetstown-Lyndon-Tampico CUSD3,PLT Middle School,154,100.00%,100%,98.05%,98-99.9%
